Text (Q/A),state,predicted class,true class,correct,Top three features/words and their weights,note
"Question: Can military and overseas Michigan voters request an absentee ballot online? Answer: Registered voters in Michigan using a Michigan Absent Voter Ballot Application have the option to join the permanent absentee ballot list and will receive an absentee ballot in every election going forward. however, MOVE voters must complete a FCPA every year to ensure that they are sent a ballot early enough to allow for overseas mail Application that are received after the November election will apply to all of the next year's elections.Explore military and overseas voting",IL,primary,primary,True,Michigan (0.1389); overseas (-0.1084); absentee (-0.0441),Missing label 0 for IL; used MI instead.
Question: Early voting is available to all voters beginning 40 days before an election and ends the day before the election. Locations and hours for early voting are determined by each election authority. Answer: Vote411 Illinois,IL,secondary,secondary,True,Vote411 (0.1528); Illinois (0.1183); available (0.0947),
"Question: How to Register to Vote Online Answer: Register to vote online by visiting http://www.indianavoters.com/.Indiana residents with a valid Indiana drivers license or Indiana state-issued identification card will be able to use this tool to submit a new voter registration application or to update an existing voter registration record.In addition to registering to vote online,http://www.indianavoters.com/ provides Hoosiers with the ability to validate their voter registration status, find their polling place location, look into their provisional ballot status information, find county contact information, and determine Who's on My Ballot? for an upcoming election.",IN,primary,primary,True,voter (0.0785); status (-0.0626); provisional (-0.0592),
Question: How can I verify my voter registration status and address any issues? Answer: To verify your voter registration status click here!,IN,secondary,secondary,True,verify (0.3452); status (0.1739); registration (0.0594),
"Question: Do I have to show photo ID to advance in-person vote? Answer: State law requires Kansas voters to show photographic identification when casting a vote in person, this includes voting advance in-person. If the voter does not provide identification or it is not valid, the voter will be issued a provisional ballot.",KS,primary,primary,True,provisional (-0.0855); ID (-0.0603); law (0.0568),
"Question: What is the process for voting by mail? Answer: 2024 General Election: Important Return DatesIn Kansas, voted advanced ballots must be postmarked by Election Day, November 5th or submitted in person by the close of polls on November 5th.Absentee voting is available and no excuse is required. The last day to request an absentee ballot is 7 days before the election. You can return your absentee ballot request form through the mail or in person. Voted ballots must be postmarked by Election Day in order to be counted. You can sign up to track your absentee ballot on your Secretary of State website. Absentee ballots begin being counted on Election Day. Contact your local elections office for more information.To vote by mail, follow these instructions:- Complete the application for an advance ballot- Provide either your driver's license number on the ballot application or a copy of your photo ID document with your application- Return the application to your county election office before the registration deadline for the next election- The ballot will be mailed to you. Vote your ballot. Remember to sign the outside of the ballot envelope. Return your ballot to your county election office- All voted ballots MUST be postmarked on or before Election Day and received in the county election office by the close of business on the third business day following the election- You may request assistance in applying for and casting an advance voting ballotAdvance ballots are mailed out beginning 20 days before the election until the 4 days before an election. Make sure you apply for an advance ballot before the deadline to receive your ballot in the mail.Voting in person after requesting an absentee ballot:Those who requested an absentee ballot but end up voting in person will be given a provisional ballot to ensure they only vote once. If you have any questions, you can find your local county clerk contact info here.",KS,secondary,secondary,True,days (0.0896); election (0.0680); absentee (0.0620),
"Question: What time are the polls open on the days prior to Election Day? Answer: Time polls are open during excused, in-person absentee and no-excuse in-person absentee is found on www.govote.ky.gov or contact your County Clerk's office.",KY,primary,primary,True,prior (0.0751); gov (0.0652); days (-0.0493),
"Question: How can I request and return an absentee ballot for an upcoming general election? Answer: 2024 General Election: Important Return Dates In Kentucky, voted absentee ballots must reach your county clerks office by 6:00 p.m. on Election Day, November 5th, whether returned by mail or in person. Excused In-Person Absentee Voting: Who : Registered Kentucky voters can vote extra early if they have one of the excuses listed here and cannot vote early or on Election Day. When: The six business days before early voting times during normal business hours. Where : Your county clerk's office or a place chosen by your county board of elections. Contact your county board of elections for more location details. Registered Kentucky voters can vote extra early if they have one of the excuses below and cannot vote early or on Election Day: Is a resident of Kentucky who will be absent from the county of their residence on the day of an election and during the days of no-excuse in-person absentee voting Has surgery, or whose spouse has surgery, scheduled that will require hospitalization on the day of an election and during the days of no-excuse in-person absentee voting Temporarily lives outside the state, but is still eligible to vote in Kentucky and will be absent from the county of their residence on the day of an election and during the days of no-excuse in-person absentee voting Is a resident of Kentucky who is a uniformed-service voter confined to a military base on Election Day and during the days of no-excuse in-person absentee voting Is in the last trimester of pregnancy - no documentation required Has not been declared mentally disabled by a court of competent jurisdiction and, due to age, disability, or illness, is not able to appear at the polls on Election Day and during the days of no-excuse in-person absentee voting Any person employed in an occupation that is scheduled to work during all days and all hours, which shall include commute time, the polls are open on Election Day and during the days of no-excuse in-person absentee voting Any election officer tasked with election administration for the current election cycle. Note: Normal early voting does NOT require an excuse and occurs the Thursday, Friday, and Saturday before Election Day. To learn more, click here . Mail-In Absentee Voting Voters can request a mail-in ballot to be sent to their registered county address if they submit their application at least fourteen (14) days before an election. The qualification criteria is below. Completed absentee ballots must reach the county clerks office by 6pm local time on Election Day to be counted. Mail-in absentee ballots must be requested through the GoVote.KY.gov portal. TRACK YOUR BALLOT: To check the status of your absentee ballot, click here. QUALIFICATION CRITERIA: To be eligible for a mail-in absentee ballot, you must meet one of the following criteria: Age, disability, or illness that prevents in-person voting Temporarily living out of state Temporarily living out of the county as a student Being out of the county for all hours of in-person voting In jail on criminal charges but not convicted Enrolled in the crime victim address confidentiality protection program Military or overseas voter Moving or having moved to a different state while the registration books are closed in the new state before an election of electors for President and Vice President of the United States. In this case, the voter shall be allowed to cast a mail-in absentee ballot for electors for President and Vice President of the United States only. The portal to receive absentee ballot requests will open no later than 45 days before the election. Voter ID will be verified through the portal. Note: Voters who request a mailed absentee ballot are unable to vote in person unless they have not received their requested absentee ballot. Special Circumstances (Disability/No Internet, Active Military, and People with Medical Emergencies within 14 Days of the Election.) People with disabilities who are unable to use the portal, people who do not have internet and people who are otherwise unable to use the portal may call their County Clerk to have their information verified and entered into the portal for them. You can apply for a medical emergency absentee ballot if a medical emergency occurs within 14 days before an election. The voter's spouse can also apply for an absentee ballot on their behalf. You can request this through your county clerks office. Overseas citizens and US military personnel can find information on registering to vote and requesting an absentee ballot at the Overseas Vote Foundation . Request your Ballot",KY,secondary,secondary,True,days (0.1020); absentee (0.0654); election (0.0489),
"Question: When is provisional voting provided in an election? Answer: Provisional voting applies only to elections for federal office (Presidential Preference Primary, U.S. President, U.S. Senator and/or U.S. Representative). It does not apply to local or state elections. Provisional voting can take place either during early voting or on election day.",LA,secondary,primary,False,Provisional (0.1502); provisional (0.0707); voting (0.0559),
"Question: What about Overseas and Military Voters? Answer: You are a Military or Overseas voter if you are in uniformed services, living overseas OR a spouse or dependent of a uniformed services voter. To get registered and vote, you can utilize Overseas Vote Foundation. If you have additional questions about elections and voting overseas you can use our state specific elections official directory or contact the Overseas Vote Foundation.",LA,secondary,secondary,True,Overseas (0.1147); overseas (0.0655); Foundation (0.0634),
"Question: How do I return my accessible vote by mail ballot electronically? Answer: To return the ballot electronically, you will need to review the ballot materials and ballot before submitting the ballot to your local election official using the secure web portal. Ballots returned electronically must be received by the close of polls on Election Day.",MA,primary,primary,True,electronically (0.0363); mail (-0.0341); official (-0.0303),
"Question: What are the Polling Place Hours? Answer: For all elections, except local elections, the polls must be open from 7:00 am to 8:00 pm. Voters in line at 8 p.m. are entitled to vote.",MA,secondary,secondary,True,00 (0.1805); Hours (0.0914); pm (0.0784),
"Question: Has this voting system been tested? Answer: The entire system was thoroughly tested and certified by the U.S. Election Assistance Commission. State and local election officials have tested each device in Maryland, and the local boards conduct pre-election testing on all equipment used.",MD,primary,primary,True,tested (0.0765); local (-0.0617); election (-0.0457),
"Question: What are the requirements to become a poll worker? Answer: You can make sure we have safe, fair, and efficient elections for all. Become a poll worker today!In order to be an Election Judge, you must be:- 16 years or older (if you are 16 you must have a parent or guardian permission)- Registered to vote in Maryland- Physically and mentally able to work at least a 15 hour day- Willing to work outside your home precinct- Able to sit and/or stand for an extended time- Able to speak, read and write EnglishYou cannot be an election judge if you are a:- Candidate or currently holding public office- Chairman, campaign manager or treasurer for a political or candidate committeeWhy should you be an election judge?- You will get paid- You will help voters- You are involved in the election process!If you'd like to apply to becoming an election judge, click here.",MD,secondary,secondary,True,worker (0.0706); poll (0.0678); work (0.0652),
Question: How do I locate and contact my municipal clerk? Answer: You can find contact information for your town office or city hall on Maine.gov at http://www.maine.gov/sos/cec/elec/munic.html,ME,primary,primary,True,gov (0.0663); clerk (0.0241); municipal (0.0184),
"Question: When are the Official Results available? Answer: Official results are never available on Election Day. Election officials are working around the clock to count an unprecedented number of ballots, and its essential that they take the time to make sure every vote is counted. Absentee ballots and challenged ballots begin being counted on Election Day. For Presidential elections, local results will be certified no later than 2 business days after Election Day. Official election results will be uploaded on Maines Secretary of State website, within 20 days after Election Day.",ME,secondary,secondary,True,available (0.1080); days (0.0883); Official (0.0805),
Question: Must I vote the entire ballot? Answer: You are not required to vote the entire ballot. You may pick and choose the races or ballot questions for which you want to vote. Skipping sections of the ballot does not invalidate your ballot.,MI,primary,primary,True,required (-0.0310); ballot (0.0202); Question (0.0166),
"Question: Where can I find my Voter Service and Polling Center location? Answer: You can find your polling place by utilizing your state resource.If you have further questions on your polling place location, please contact your local board of elections.",MI,secondary,secondary,True,resource (0.1133); local (0.0953); location (0.0883),Missing label 1 for MI; used MD instead.
"Question: What is the Safe at Home Address Confidentiality Program? Answer: If you have extreme safety needs, the Safe at Home Address Confidentiality Program can help. When you enroll in this program, all voting is done by absentee ballot through the mail through the Safe at Home office. Your name and address is never shared with your local elections office. Only your marked ballot is counted. This program is administered by the Office of the Minnesota Secretary of State and offers much more than confidential voting. It is available for people with very high safety concerns. When you enroll in Safe at Home, the Office of the Minnesota Secretary of State assigns you a post office box address that you can use in place of your real address. This alternate address can be used for all your interactions with others and must be accepted by all public offices, private companies, and people with whom you interact while you reside in Minnesota. This allows you to keep your real address inaccessible from the person you fear. The Office of the Minnesota Secretary of State forwards all of your mail to you from the assigned post office box. Applying to Safe at Home requires the assistance of a professional victim advocate.",MN,primary,primary,True,available (-0.0343); address (0.0246); Safe (-0.0245),
"Question: What ID is Needed for Voter Registration? Answer: To register to vote by mail you need to provide your state driver's license number or state ID number. If you have not been issued a state driver's license or state ID, you will need to provide the last 4 digits of your Social Security number. If you have none of these, write NONE in box #10b of your voter registration application. This is required by law. To register at the polling place on Election Day, you must have authorized proof of residence. This includes: A valid Minnesota driver's license, learner's permit, Minnesota ID card or receipt for any of these A valid student ID card including your photo, if your college has provided a student housing list to election officials A Tribal ID card that contains your picture, name, address and signature A valid registration in the same precinct under a different name or address A notice of late registration sent to you by your county auditor or city clerk A voter registered in the same precinct as you who can confirm your address with a signed oath An employee of the residential facility where you live who can confirm your address with a signed oath Both 1) a phot ID from the list below and 2) a current bill from the list below with your name and address in the precinct Photo IDs (may be expired) Minnesota driver's license Minnesota ID card United States passport United States military ID card Tribal ID or veteran's card that includes a signature Minnesota University, College or Technical College ID card Bills (delivered electronically or by mail) Utility bill due within 30 days of election day (telephone, TV, internet service, electric, gas, solid waste, sewer services, water) Rent or mortgage statement dated within 30 days of election day Current student fee statement Credit card or bank statement dated within 30 days You must re-register if your name or address changes or you have not voted in more than four years.",MN,secondary,secondary,True,ID (0.2141); days (0.0761); driver (0.0410),
"Question: 5. I need help when I vote. What are my options? Answer: No Excuse with ID, During the two weeks prior to the election, you may vote a no-excuse absentee ballot in person at a location designated by your local election authority. Curbside Voting, If you have limited mobility you may be able to vote ""curbside"" or outside the polling place. You should go to your polling place and ask someone to go in and ask poll workers to bring a ballot out to you. The poll workers should bring you a ballot within a reasonable period of time. Accessible Voting Systems,Every polling place must have an accessible voting system for individuals with disabilities including audiovisual accessibility. Accessible systems include an audio ballot to make selections or the ability to enlarge text so that you can read the on-screen ballot with ease. Permanent Absentee Voting,If you have a permanent physical disability you may request to be placed on a designated list so that your local election authority can automatically mail an absentee ballot application directly to you prior to each election. You will need to make this request directly your local election authority who will send you further information. Personal Assistance, If you cannot read or write, are blind or have another physical disability and cannot vote your ballot, you may choose to bring in a person to help you vote. Your assistant does not have to be over the age of 18 or have to be a registered voter. Additionally, a bipartisan team of poll workers can assist you upon request.",MO,primary,primary,True,prior (0.0420); local (-0.0386); election (-0.0275),
"Question: When would I need to vote using a provisional ballot? Answer: If you don’t bring a government-issued photo ID to your polling place on Election Day, you can request a blue provisional ballot. Your vote won’t count unless you come back to your polling place that day with an acceptable ID or if your signature matches the one on your voter registration record. If your name does not appear on the poll book and you are eligible to vote at that precinct, you may also receive a provisional ballot. Every effort will be made to determine your eligibility and your correct polling place so you can cast a regular ballot. Provisional Ballots are counted two weeks after the election. For more information, go to LWVMO.org.",MO,secondary,secondary,True,provisional (0.2110); ID (0.0684); Provisional (0.0626),
"Question: Where do I register to vote? Answer: You can register to vote at your Circuit Clerks office, your Municipal Clerks office, when you get your drivers license at the Department of Public Safety, or through the mail by downloading a voter registration form from our website and mailing it to your Circuit Clerk. Keep in mind that first time, mail-in, unverified registrants must show ID the first time they go to the polls. Here is a link to the voter registration form: Voter Registration Form",MS,primary,primary,True,voter (0.0592); ID (-0.0460); time (-0.0450),
"Question: What accessible voting options are available for voters with disabilities? Answer: If you are permanently disabled, you can register to be on the voter disabled list and will automatically be sent a ballot. To register as a disabled citizen, you must get a signed statement from your physician stating you are permanently disabled. The new voting machines provide accessible voting for many disabled. If necessary, you can choose a person to assist you with your voting. For more information, you can utilize the American Association of People With Disabilities (AAPD) resource.",MS,secondary,secondary,True,available (0.0679); disabilities (0.0628); resource (0.0479),
Question: How do I cancel my voter registration? Answer: A voter may cancel their voter registration by submitting a written request for cancellation and the reason for cancellation to their county election administrator.,MT,primary,primary,True,voter (0.0910); cancel (0.0518); submitting (-0.0098),
"Question: Where can I find my Voter Service and Polling Center location? Answer: You can find your polling place by utilizing your state resource.If you have further questions on your polling place location, please contact your county clerk.",MT,secondary,secondary,True,resource (0.1315); location (0.1135); polling (0.0857),
"Question: Can someone request an absentee ballot for me? Answer: Yes. Your near relative or verifiable legal guardian may request a ballot for you. They may not make changes to your voter registration record, including your name, address, or party affiliation. A near relative is your:SpouseBrotherSisterParentGrandparentChildGrandchildMother-in-lawFather-in-lawDaughter-in-lawSon-in-lawStepparentStepchildIf you need assistance requesting your ballot due to disability, these restrictions do not apply, and you may ask any person to request your ballot.Anyone requesting a ballot on behalf of a voter will provide their name, address, and relationship to the voter on the absentee request form.",NC,primary,primary,True,voter (0.0499); absentee (-0.0243); Yes (0.0209),
"Question: Under what circumstances will I need to cast a provisional ballot, and how is it processed? Answer: You may vote a provisional ballot if you meet specific conditions. You may be asked to vote a provisional ballot if: your qualification to vote is questioned your voter eligibility is questioned your eligibility to vote a specific ballot is questioned You ask to vote for an election that is not in your assigned voting district You do not show appropriate ID under HAVA If you are asked to vote a provisional ballot, that ballot will be held aside until you can prove your eligibility to vote. Examples of reasons for provisional voting: There's no record of your registration You moved to a different precinct and didn't report the change before 30 days before the election You were previously registered in the county but the registration was canceled Your address can't be verified in the lookup files You're trying to vote at the incorrect precinct During a primary election, you try to vote the other parties ballot The records indicate you already voted in this election Voting during extended hours on Election Day Once you vote your provisional ballot you will receive a PIN number in order to check the status of your ballot . You can begin checking the status of your ballot 10 days after the election.",NC,secondary,secondary,True,provisional (0.2689); days (0.0702); vote (-0.0582),
"Question: What is Election Day Conduct? Answer: Certain conduct is prohibited within 100 feet of an open polling location. This is called electioneering. Individuals may not attempt to persuade any voter for or against a candidate, political party, or ballot issue within 100 feet of a polling place while open for voting. Political badges, buttons, insignias, or other items may not be worn within 100 feet from the entrance of a polling place or in the polling place while it is open for voting.",ND,primary,primary,True,polling (-0.0392); open (-0.0373); feet (0.0317),
"Question: What is Provisional Voting? Answer: There is no need for provisional voting, since there is no voter registration process.",ND,secondary,secondary,True,provisional (0.1303); Provisional (0.1271); voter (-0.1016),
Question: How do I become an election worker? Answer: Contact your county election official's office to learn more about working elections. Become an Election Worker,NE,primary,primary,True,learn (0.0465); official (-0.0463); county (0.0398),
"Question: How to request and return an Early-Vote (absentee) Ballot? Answer: You can apply for an early voting (formerly known as absentee) ballot by contacting your county clerk in person, by personal agent, by mail or by fax. You can print the early voting application request form from your state's website. To apply for early voting, you should complete the form and then mail or fax it to your county clerk. You may also send in a hand-written request. You can obtain an early voting ballot by writing to your county clerk or election commissioner with the following information: Your name and residence address, Your political party affiliation, Your voting precinct (if known), Your phone number, The mailing address you want the ballots sent to, Your signature",NE,primary,secondary,False,voting (-0.0714); early (-0.0675); absentee (-0.0439),
Question: Does the state website feature contact information and/or links to official political party web sites? Answer: No.,NH,primary,primary,True,website (-0.0583); state (-0.0582); political (0.0559),
"Question: What is a Polling Place Locator? Answer: You can find your polling place by utilizing your state resource. If you have further questions on your polling place location, please contact your local official.",NH,secondary,secondary,True,resource (0.1006); utilizing (0.0630); location (0.0592),
Question: Where can I find the locations of the ballot drop boxes? Answer: You can find that information on the New Jersey Voter Information Portal .,NJ,primary,primary,True,boxes (-0.1910); drop (-0.1601); Voter (0.1186),
"Question: How can I request and return an absentee ballot for an upcoming general election? Answer: 2024 General Election: Important Return Dates In New Jersey, completed mail-in ballots sent through the mail must be postmarked by Election Day, November 5th. If you are delivering your completed ballot in person to the County Board of Elections, it must be submitted by 8:00 p.m. on Election Day. Absentee voting is available and no excuse is required. In New Jersey, absentee ballots are called mail-in or vote-by-mail ballots. The last day to request a mail-in ballot through the mail is 7 days before the election. The last day to request a mail-in ballot in-person is 3 pm the day before the election. If returning your Mail-In Ballot in person it must be received by your County Board of Elections before close of polls on Election Day. If returning your Mail-In Ballot by mail, it must be postmarked no later than Election Day and received by your County Board of Elections no later than 144 hours (6 days) after the time of the closing of the polls for the election. You can track your ballot on the NJ DOS website! Requesting and Returning your Mail-in Ballot You may apply for a vote by mail ballot by completing an vote by mail ballot application and mailing the application to your county clerk . The application must be received by the County Clerk seven days before the election. You may also apply in person to the county clerk until 3:00 p.m. the day before the election. The County Clerk cannot accept faxed copies of a vote by mail ballot application unless you are a Military or Overseas voter, since an original signature is required. Voters do not need to provide a copy of their ID in order to cast a vote- by-mail ballot except under certain circumstances for first time voters. These voters will receive a notice with their vote-by-mail ballot. If returning your Mail-In Ballot in person it must be received by your County Board of Elections or placed in a secure ballot drop-box before close of polls on Election Day. If returning your Mail-In Ballot by mail, it must be postmarked no later than Election Day and received by your County Board of Elections no later than 144 hours (6 days) after the time of the closing of the polls for the election. Permanent Mail-in Ballot List To become a Permanent Mail-in Ballot Voter, simply check the appropriate box on the Absentee Ballot Application indicating that you wish to receive your ballot by mail in all future elections. Voting in Person after Requesting an Absentee Ballot If you requested a Mail-In Ballot but wish to vote at the polls on Election Day you may request an Opt-Out Form from your county clerk. If mail-in ballots have already been mailed for the election, you will not be able to vote on a machine at the polls. Additional Information If you have any questions, you can call 1-877-NJ-VOTER (1-877-658-6837). Overseas citizens and U.S. military personnel can find information on how to register to vote and request a vote by mail ballot at the Overseas Vote Foundation .",NJ,secondary,secondary,True,mail (0.1001); Overseas (0.0674); days (0.0643),
"Question: How can I confirm I am registered to vote or change my voter registration? Answer: You can view or update your voter registration information, please go to My Voter File.",NV,primary,primary,True,voter (0.0513); Voter (0.0241); view (0.0128),
"Question: What are the requirements for voting by mail? Answer: Nevada is now a vote by mail state, so all registered voters will receive a ballot by mail. You may opt-out from receiving a mail-in ballot if you wish to vote in person. Do not mail a ballot and vote in person. Voters who vote in person will have two options:",NV,secondary,secondary,True,mail (0.1119); requirements (0.0422); person (0.0400),
"Question: How can a voter look up their polling place to vote in person? Answer: Voters can look up their polling place for both Early Voting days and Election Days via the State Boards voter lookup application. Alternatively, voters can contact their local County Board of Elections. Early Voting occurs for nine days, starting with the tenth day before Election Day. Locations and hours vary from county to county.",NY,primary,primary,True,days (-0.0982); voter (0.0729); Election (-0.0631),
Question: What are the voting hours at polling places? Answer: Polling places will be open from 6:00 am to 9:00 pm.,NY,secondary,secondary,True,00 (0.1299); hours (0.1074); Polling (0.0575),
"Question: What ID do I need to bring? Answer: If you are voting early in person, you must provide your Ohio drivers license, state ID, US passport, or military ID. After HB 458, a valid photo ID is now required to vote early in person you may no longer vote in person using the last 4 digits of your Social Security Number.",OH,secondary,primary,False,ID (0.2234); Number (0.0361); Ohio (-0.0280),
"Question: What forms of identification are required to register to vote, and how can I prove my citizenship? Answer: You may register to vote online, in person or by mail. Online To register online you will need to provide the following: Ohio drivers license or Ohio identification card number Name Date of Birth Address Last four digits of your Social Security number If you do not have any portion of the required information, follow this link to update your voting address using our paper form (PDF). Once you complete this form, you must sign and send it to your county board of elections . If you are a Safe at Home participant, before you proceed, please follow this link to contact the Safe at Home office .",OH,secondary,secondary,True,number (0.0584); required (0.0502); forms (0.0447),
Question: Can I return the card to my County Election Board in person? Answer: Yes. Find your County Election Board .,OK,primary,primary,True,Yes (0.0617); Answer (0.0280); County (0.0241),
